subj,alpha
1501,0.31333492156862747
1502,0.2755935289886584
1503,0.27716599638400813
1504,0.3494037450755703
1505,0.29010939999999996
1509,0.31284888167388164
1512,0.3349908365079365
1517,0.38454403068500126
1518,0.29129466984126984
1521,0.30599688851540613
1529,0.30199606507936505
1530,0.2758168017316017
1532,0.3301251835518283
1535,0.24076604630779846
1536,0.3504252182539683
1538,0.2948662079365079
1540,0.2867035264069264
1542,0.31637558974358976
1548,0.3481932815581854
1552,0.29315226666666666
1557,0.3073094350649351
28000,0.3143092277167277
28234,0.34883259370259373
28308,0.26565463015873014
28309,0.35479151923076924
28999,0.3020386666666667
29212,0.2812867894660895
29220,0.30194525714285714
29221,0.29907644250823134
29227,0.304089799658994
29230,0.2616615194083694
29233,0.2690266446886447
29239,0.31424209722222224
29240,0.2975616126984127
29245,0.2874134666666667
29280,0.3141237083333333
29281,0.2873030285714286
29303,0.29965796736596734
29305,0.28443064444444444
29306,0.2670440794094794
29307,0.28524896969696967
29310,0.32095112630059996
29318,0.31383991560340246
29326,0.29503722222222223
29328,0.2865454717948718
