index,network,network_names,connection,censor,Beta
35245,6-6,Memory retrieval?-Memory retrieval?,133-134,TRUE,0.8495817524513262
46638,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,174-177,TRUE,-0.10832323890569145
49806,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,174-189,TRUE,7.5505685710432084
50612,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,188-192,TRUE,-1.2765132663798868
50865,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,177-193,TRUE,1.881206318432523
51920,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,176-197,TRUE,-1.8516345081100791
52185,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,177-198,TRUE,10.51241219300091
52462,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,190-199,TRUE,-2.06853821856835
52463,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,191-199,TRUE,0.5911730606692125
52980,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,180-201,TRUE,-0.8172859839547955
53243,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,179-202,TRUE,0.3561914496922817
53265,8-8,Fronto-parietal Task Control-Fronto-parietal Task Control,201-202,TRUE,-4.128636962701206
